player_id,player,team,league,fifa_edition,update
210257,Ederson Santana de Moraes,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
188377,Kyle Walker,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
239818,Rúben Santos Gato Alves Dias,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
229237,Manuel Akanji,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
251517,Joško Gvardiol,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
186942,İlkay Gündoğan,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
218667,Bernardo Mota Carvalho e Silva,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
237692,Phil Foden,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
270409,Sávio Moreira de Oliveira,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
239085,Erling Haaland,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
246420,Jérémy Doku,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
192985,Kevin De Bruyne,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
253124,Matheus Luiz Nunes,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
203574,John Stones,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
208920,Nathan Aké,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
271574,Rico Lewis,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
75577,Jahmai Simpson-Pusey,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
200159,Stefan Ortega,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
206517,Jack Grealish,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
264349,James McAtee,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
264681,Joshua Wilson-Esbrand,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
70996,Jacob Wright,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
277427,Nico O'Reilly,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
157804,Scott Carson,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
207410,Mateo Kovačić,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
277295,Oscar Bobb,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
231866,Rodrigo Hernández Cascante,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
279624,Mahamadou Susoho Sissoho,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
240913,Caoimhin Kelleher,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
231281,Trent Alexander-Arnold,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
237678,Ibrahima Konaté,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
203376,Virgil van Dijk,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
216267,Andrew Robertson,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
246104,Ryan Gravenberch,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
239837,Alexis Mac Allister,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
209331,Mohamed Salah,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
241084,Luis Díaz,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
236772,Dominik Szoboszlai,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
253072,Darwin Núñez,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
235805,Federico Chiesa,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
232487,Wataru Endo,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
242434,Curtis Jones,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
225100,Joe Gomez,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
232223,Konstantinos Tsimikas,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
264298,Conor Bradley,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
253428,Vítězslav Jaroš,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
242516,Cody Gakpo,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
224458,Diogo José Teixeira da Silva,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
273651,Jarell Quansah,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
246174,Harvey Elliott,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
265459,Tyler Morton,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
271977,Harvey Davies,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
279128,Trey Nyoni,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
212831,Alisson Ramses Becker,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
278292,James McConnell,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
71227,Jayden Danns,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
220901,David Raya Martin,Arsenal,ENG-Premier League,FC 25,"Dec 18, 2024"
251805,Jurriën Timber,Arsenal,ENG-Premier League,FC 25,"Dec 18, 2024"
243715,William Saliba,Arsenal,ENG-Premier League,FC 25,"Dec 18, 2024"
232580,Gabriel dos S. Magalhães,Arsenal,ENG-Premier League,FC 25,"Dec 18, 2024"
257711,Riccardo Calafiori,Arsenal,ENG-Premier League,FC 25,"Dec 18, 2024"
209989,Thomas Partey,Arsenal,ENG-Premier League,FC 25,"Dec 18, 2024"
