team_id,team,league,fifa_edition,update
10,Manchester City,ENG-Premier League,FC 25,"Dec 18, 2024"
9,Liverpool,ENG-Premier League,FC 25,"Dec 18, 2024"
1,Arsenal,ENG-Premier League,FC 25,"Dec 18, 2024"
5,Chelsea,ENG-Premier League,FC 25,"Dec 18, 2024"
11,Manchester United,ENG-Premier League,FC 25,"Dec 18, 2024"
18,Tottenham Hotspur,ENG-Premier League,FC 25,"Dec 18, 2024"
2,Aston Villa,ENG-Premier League,FC 25,"Dec 18, 2024"
13,Newcastle United,ENG-Premier League,FC 25,"Dec 18, 2024"
19,West Ham United,ENG-Premier League,FC 25,"Dec 18, 2024"
1799,Crystal Palace,ENG-Premier League,FC 25,"Dec 18, 2024"
1808,Brighton & Hove Albion,ENG-Premier League,FC 25,"Dec 18, 2024"
14,Nottingham Forest,ENG-Premier League,FC 25,"Dec 18, 2024"
110,Wolverhampton Wanderers,ENG-Premier League,FC 25,"Dec 18, 2024"
144,Fulham,ENG-Premier League,FC 25,"Dec 18, 2024"
7,Everton,ENG-Premier League,FC 25,"Dec 18, 2024"
1925,Brentford,ENG-Premier League,FC 25,"Dec 18, 2024"
1943,AFC Bournemouth,ENG-Premier League,FC 25,"Dec 18, 2024"
17,Southampton,ENG-Premier League,FC 25,"Dec 18, 2024"
95,Leicester City,ENG-Premier League,FC 25,"Dec 18, 2024"
94,Ipswich Town,ENG-Premier League,FC 25,"Dec 18, 2024"
243,Real Madrid,ESP-La Liga,FC 25,"Dec 18, 2024"
241,FC Barcelona,ESP-La Liga,FC 25,"Dec 18, 2024"
240,Atlético Madrid,ESP-La Liga,FC 25,"Dec 18, 2024"
448,Athletic Club,ESP-La Liga,FC 25,"Dec 18, 2024"
110062,Girona,ESP-La Liga,FC 25,"Dec 18, 2024"
457,Real Sociedad,ESP-La Liga,FC 25,"Dec 18, 2024"
483,Villarreal,ESP-La Liga,FC 25,"Dec 18, 2024"
449,Real Betis,ESP-La Liga,FC 25,"Dec 18, 2024"
481,Sevilla,ESP-La Liga,FC 25,"Dec 18, 2024"
453,Mallorca,ESP-La Liga,FC 25,"Dec 18, 2024"
461,Valencia,ESP-La Liga,FC 25,"Dec 18, 2024"
479,Osasuna,ESP-La Liga,FC 25,"Dec 18, 2024"
480,Rayo Vallecano,ESP-La Liga,FC 25,"Dec 18, 2024"
450,Celta de Vigo,ESP-La Liga,FC 25,"Dec 18, 2024"
472,Las Palmas,ESP-La Liga,FC 25,"Dec 18, 2024"
100888,Leganés,ESP-La Liga,FC 25,"Dec 18, 2024"
1860,Getafe,ESP-La Liga,FC 25,"Dec 18, 2024"
463,Deportivo Alavés,ESP-La Liga,FC 25,"Dec 18, 2024"
452,Espanyol,ESP-La Liga,FC 25,"Dec 18, 2024"
462,Real Valladolid,ESP-La Liga,FC 25,"Dec 18, 2024"
44,Inter,ITA-Serie A,FC 25,"Dec 18, 2024"
47,Milan,ITA-Serie A,FC 25,"Dec 18, 2024"
45,Juventus,ITA-Serie A,FC 25,"Dec 18, 2024"
52,Roma,ITA-Serie A,FC 25,"Dec 18, 2024"
39,Atalanta,ITA-Serie A,FC 25,"Dec 18, 2024"
46,Lazio,ITA-Serie A,FC 25,"Dec 18, 2024"
48,Napoli,ITA-Serie A,FC 25,"Dec 18, 2024"
110374,Fiorentina,ITA-Serie A,FC 25,"Dec 18, 2024"
189,Bologna,ITA-Serie A,FC 25,"Dec 18, 2024"
54,Torino,ITA-Serie A,FC 25,"Dec 18, 2024"
111811,Monza,ITA-Serie A,FC 25,"Dec 18, 2024"
1745,Como,ITA-Serie A,FC 25,"Dec 18, 2024"
50,Parma,ITA-Serie A,FC 25,"Dec 18, 2024"
1842,Cagliari,ITA-Serie A,FC 25,"Dec 18, 2024"
55,Udinese,ITA-Serie A,FC 25,"Dec 18, 2024"
347,Lecce,ITA-Serie A,FC 25,"Dec 18, 2024"
206,Hellas Verona,ITA-Serie A,FC 25,"Dec 18, 2024"
110556,Genoa,ITA-Serie A,FC 25,"Dec 18, 2024"
1746,Empoli,ITA-Serie A,FC 25,"Dec 18, 2024"
205,Venezia,ITA-Serie A,FC 25,"Dec 18, 2024"
21,FC Bayern München,GER-Bundesliga,FC 25,"Dec 18, 2024"
32,Bayer 04 Leverkusen,GER-Bundesliga,FC 25,"Dec 18, 2024"
22,Borussia Dortmund,GER-Bundesliga,FC 25,"Dec 18, 2024"
112172,RB Leipzig,GER-Bundesliga,FC 25,"Dec 18, 2024"
1824,Eintracht Frankfurt,GER-Bundesliga,FC 25,"Dec 18, 2024"
23,Borussia Mönchengladbach,GER-Bundesliga,FC 25,"Dec 18, 2024"
25,SC Freiburg,GER-Bundesliga,FC 25,"Dec 18, 2024"
